[01/06/2025 13:25:58] | ID: 0 | Nome:  | Ação: Cadastro do usuário de ID: 87
[01/06/2025 13:26:13] | ID: 87 | Nome: Luisa Oliveira | Ação: Login realizado com sucesso
[01/06/2025 13:26:18] | ID: 87 | Nome: Luisa Oliveira | Ação: Consulta da lista de hospitais
[01/06/2025 13:26:47] | ID: 87 | Nome: Luisa Oliveira | Ação: Cadastro do hospital de ID: 9
[01/06/2025 13:26:49] | ID: 87 | Nome: Luisa Oliveira | Ação: Consulta da lista de hospitais
[01/06/2025 13:27:04] | ID: 87 | Nome: Luisa Oliveira | Ação: Atualização do hospital de ID: 9
[01/06/2025 13:27:05] | ID: 87 | Nome: Luisa Oliveira | Ação: Consulta da lista de hospitais
[01/06/2025 13:27:13] | ID: 87 | Nome: Luisa Oliveira | Ação: Exclusão do hospital de ID: 9
[01/06/2025 13:27:15] | ID: 87 | Nome: Luisa Oliveira | Ação: Consulta da lista de hospitais
[01/06/2025 13:27:18] | ID: 87 | Nome: Luisa Oliveira | Ação: Consulta da lista de usuários
[01/06/2025 13:27:40] | ID: 87 | Nome: Luisa Oliveira | Ação: Cadastro do usuário de ID: 88
[01/06/2025 13:27:40] | ID: 87 | Nome: Luisa Oliveira | Ação: Cadastro do usuário de ID: 89
[01/06/2025 13:27:40] | ID: 87 | Nome: Luisa Oliveira | Ação: Cadastro do usuário de ID: 90
[01/06/2025 13:27:40] | ID: 87 | Nome: Luisa Oliveira | Ação: Cadastro do usuário de ID: 91
[01/06/2025 13:27:40] | ID: 87 | Nome: Luisa Oliveira | Ação: Cadastro do usuário de ID: 92
[01/06/2025 13:27:40] | ID: 87 | Nome: Luisa Oliveira | Ação: Cadastro do usuário de ID: 93
[01/06/2025 13:27:40] | ID: 87 | Nome: Luisa Oliveira | Ação: Cadastro do usuário de ID: 94
[01/06/2025 13:27:40] | ID: 87 | Nome: Luisa Oliveira | Ação: Cadastro do usuário de ID: 95
[01/06/2025 13:27:40] | ID: 87 | Nome: Luisa Oliveira | Ação: Cadastro do usuário de ID: 96
[01/06/2025 13:27:40] | ID: 87 | Nome: Luisa Oliveira | Ação: Cadastro do usuário de ID: 97
[01/06/2025 13:27:40] | ID: 87 | Nome: Luisa Oliveira | Ação: Cadastro do usuário de ID: 98
[01/06/2025 13:27:40] | ID: 87 | Nome: Luisa Oliveira | Ação: Cadastro do usuário de ID: 99
[01/06/2025 13:27:40] | ID: 87 | Nome: Luisa Oliveira | Ação: Cadastro do usuário de ID: 100
[01/06/2025 13:27:40] | ID: 87 | Nome: Luisa Oliveira | Ação: Cadastro do usuário de ID: 101
[01/06/2025 13:27:40] | ID: 87 | Nome: Luisa Oliveira | Ação: Cadastro do usuário de ID: 102
[01/06/2025 13:27:40] | ID: 87 | Nome: Luisa Oliveira | Ação: Consulta da lista de usuários
